DESC_PRODUTO,CODG_EAN,DESC_PADRONIZADA
refrig antarctica guar cacul 200ml,78910942,Antárctica Guaraná Pet 237ml
refri guarana antartica 237ml/cr/,78910942,Antárctica Guaraná Pet 237ml
ref guarana antarctica caculinha 200ml,78910942,Antárctica Guaraná Pet 237ml
antarctica guarana caculinha 200ml,78910942,Antárctica Guaraná Pet 237ml
guarana antarctica 200ml,78910942,Antárctica Guaraná Pet 237ml
guarana antarctica caculinha 200ml,78910942,Antárctica Guaraná Pet 237ml
ambev guarana antarctica caculinha 237ml,78910942,Antárctica Guaraná Pet 237ml
guarana antarctica ks,78910942,Antárctica Guaraná Pet 237ml
guarana caculinha 237 ml,78910942,Antárctica Guaraná Pet 237ml
ref. guarana caculinha 237ml,78910942,Antárctica Guaraná Pet 237ml
guarana antarctica caculinha 237 ml,78910942,Antárctica Guaraná Pet 237ml
guarana antartic 237 ml,78910942,Antárctica Guaraná Pet 237ml
refrig antarctica 237ml guarana,78910942,Antárctica Guaraná Pet 237ml
refri antarctica guarana caculinha pet 237ml,78910942,Antárctica Guaraná Pet 237ml
guarana ant caculinha 237ml,78910942,Antárctica Guaraná Pet 237ml
refr guarana antartica pet 200ml,78910942,Antárctica Guaraná Pet 237ml
guarana antartica refrigerante pet c/ 237 ml,78910942,Antárctica Guaraná Pet 237ml
refrig antarctica 237ml guarana cacula,78910942,Antárctica Guaraná Pet 237ml
refrigerante g antart 237ml,78910942,Antárctica Guaraná Pet 237ml
guarana antarctica caculinha 237ml,78910942,Antárctica Guaraná Pet 237ml
guarana antarctica 237 ml,78910942,Antárctica Guaraná Pet 237ml
antarctica guarana caculinha 237ml,78910942,Antárctica Guaraná Pet 237ml
guarana antarctica 200 ml pety,78910942,Antárctica Guaraná Pet 237ml
refrig.pet guar.ant.237 ml .,78910942,Antárctica Guaraná Pet 237ml
ref guarana antartica 237ml,78910942,Antárctica Guaraná Pet 237ml
guarana  antarctica 237ml,78910942,Antárctica Guaraná Pet 237ml
guarana antartica antarctica pet,78910942,Antárctica Guaraná Pet 237ml
guarana chp antartica pet 237ml,78910942,Antárctica Guaraná Pet 237ml
guarana antarctica lata 350ml,78910942,Antárctica Guaraná Pet 237ml
guarana antartica 237ml,78910942,Antárctica Guaraná Pet 237ml
guarana chp antarctica pet 237ml shrink,78910942,Antárctica Guaraná Pet 237ml
ref.guarana antarctica caculinha 200ml,78910942,Antárctica Guaraná Pet 237ml
ref antarctica guarana caculin,78910942,Antárctica Guaraná Pet 237ml
refr guarana antarctica pet 237ml,78910942,Antárctica Guaraná Pet 237ml
refrig guarana antarctica 237ml,78910942,Antárctica Guaraná Pet 237ml
guarana antarctica 237ml,78910942,Antárctica Guaraná Pet 237ml
guarana chp antarctica pet 237ml,78910942,Antárctica Guaraná Pet 237ml
refri guarana antarctica 237ml,78910942,Antárctica Guaraná Pet 237ml
refrigerante coca cola lta 220ml,78912939,Coca-Cola Mini Pet 250ml
coca cola pet 250 ml,78912939,Coca-Cola Mini Pet 250ml
coca coca cola 220ml,78912939,Coca-Cola Mini Pet 250ml
coca cola pet 250ml,78912939,Coca-Cola Mini Pet 250ml
coca cola 250ml un,78912939,Coca-Cola Mini Pet 250ml
cc mini pet 250ml,78912939,Coca-Cola Mini Pet 250ml
coca cola pet 250ml un,78912939,Coca-Cola Mini Pet 250ml
beb ref 250ml coca cola  pet,78912939,Coca-Cola Mini Pet 250ml
refri coca cola 250ml mini pet,78912939,Coca-Cola Mini Pet 250ml
coca-cola pet min 250ml,78912939,Coca-Cola Mini Pet 250ml
refrig coca cola 250ml pet,78912939,Coca-Cola Mini Pet 250ml
pacoca -- ref coca cola 250ml,78912939,Coca-Cola Mini Pet 250ml
coca -cola 250 ml,78912939,Coca-Cola Mini Pet 250ml
